link,title,datetime,abstract
/realtimenews/20230314002572-260407,「暖揆」陳建仁罕見動怒！和高金對嗆喊：不要講疑美論,2023-03-14 12:47,美國總統拜登在去年底簽署2023財政年度《國防授權法案》，除了對台灣的軍事援助和貸款外，一項提供美國官員到台灣學習、工作的「台灣學人計畫」，不過，無黨籍立委高金素梅今質詢提到，美國把台灣老百姓整得雞犬
/realtimenews/20230314002400-260407,兩岸情勢緊張 呂秀蓮喊話蔡政府：和平機會要隨時創造,2023-03-14 12:41,陸委會日前開放兩岸直航，但團客和自由行尚未解禁，外界認為政府應向對岸釋出更多善意，前副總統呂秀蓮指出，去年兩岸情勢緊張，但過完年後氣氛不太一樣，她認為和平機會要隨時創造，台灣有權有責的人應認真思考；她
/realtimenews/20230314002362-260407,高虹安唱五月天歌曲促反詐恐侵權？警方︰已暫停播放,2023-03-14 12:37,新竹市長高虹安為宣導反詐，近期錄製音檔獻唱五月天《突然好想你》其中2句歌詞，並隨垃圾車於定點播放，民進黨市議員劉康彥指出此舉恐怕涉及版權問題，質疑是否有申請公播、取得授權？對此，新竹市警局表示，播放是
/realtimenews/20230314002324-260407,費鴻泰出局了？最新2.1萬民調超震撼 網挺他轉戰「這區」,2023-03-14 12:28,國民黨台北市議員徐巧芯日前表態，將投入台北市信義、南松山立委，挑戰該選區同黨籍資深立委費鴻泰，而費鴻泰也表示願直球對決，兩人點起國民黨世代議題的火花。《中天電視》Youtube頻道13日發起網路投票，
/realtimenews/20230314002307-260407,前瞻砸千億農業旱災未解 民眾黨團籲：公平調配水資源,2023-03-14 12:22,台灣缺水危機日益嚴峻，南台灣降雨量創30年來新低，台南轉為減量供水，高雄也變為減壓供水。台灣民眾黨立法院黨團14日召開記者會直言，前瞻水環境建設前三期已經花了1357億元，面對旱災還是束手無策，若缺水
/realtimenews/20230314003687-260407,蔡政府恐放水電雙漲！最新民調曝光 過半民眾為「這事」氣炸,2023-03-14 16:04,經濟部長王美花昨（13）日出席立院經濟委員會，對於立委呼籲4月先不漲電價，王美花強調，台電要站得住不能倒，沒有同意暫緩調漲；另南部近期又有旱災出現，水費低廉的問題再度受到關注，經濟部表示會在2個月內提
/realtimenews/20230314003552-260407,基捷負擔暴增至53.8億！市府做民調惹議 藍綠互槓,2023-03-14 15:58,基隆市政府13日公布民調，有超過五成的市民認為基隆市要負擔53.8億元的基捷經費並不合理。交通部長王國材表示，民調可以反映民眾心聲，但不能用民調決定經費。基隆市藍綠議員對於這項民調結果，各持己見重炮抨
/realtimenews/20230314003463-260407,忠烈祠事件挨批操弄仇日情節 張善政團隊反擊了,2023-03-14 15:41,「桃園忠烈祠暨神社文化園區」從日本迎來天照大神等供奉，引發專家學者批評棄祖背宗，桃園市長張善政請廠商送回日本神祇，民進黨新聞部主任張志豪痛批政客不應操弄仇日、惡意破壞古蹟。市府反擊，強調臘冬燈籠祭落幕
/realtimenews/20230314003581-260407,民進黨報復性施政？他曝1事憂：難保下次不會是桃園,2023-03-14 15:39,基隆捷運的基隆市府分攤款爆增三倍，民調顯示逾五成基隆市民認為不合理，國民黨桃園市議員詹江村等人今(14)日召開記者會力挺基隆市民，並認為林右昌不能換了位子就換腦袋，痛批民進黨對北北基秋後算帳。詹江村也
/realtimenews/20230314003356-260407,網友點名PK高虹安唱歌 陳其邁苦笑「我有自知之明啦」,2023-03-14 15:36,新竹市長高虹安近日獻唱五月天金曲《突然好想你》宣導反詐騙，隨著垃圾車放送，相當洗腦，但也引發評價兩極爭議。不過，有網友跪求高雄市長陳其邁演唱的《紅豆》也隨垃圾車播放，今（14）日陳其邁笑說，「我有自知
/realtimenews/20230314003275-260407,鍾東錦撤回對國民黨起訴！背後推手是「伯公」,2023-03-14 15:36,苗栗縣長鍾東錦去年九合一選舉競選期間，遭國民黨解除苗栗縣黨部主委職務並開除黨籍，鍾東錦透過律師向法院提出「確認黨籍存在之訴」，經前國民黨榮譽主席吳伯雄「伯公」居中協調，力勸鍾東錦應以「團結藍軍」為最大
/realtimenews/20230314003390-260407,史書華「問候」她罹癌往事 鍾沛君再發聲：我不會倒下,2023-03-14 15:35,國民黨台北市議員鍾沛君日前遭親綠牙醫史書華拿曾罹癌的往事做文章，引爆網友的怒火。對此，她今天在臉書發文表示，面對惡意，要勇敢選擇面對的態度，該篇貼文也湧入許多網友打氣，曾罹癌的國民黨副主席連勝文也鼓勵
/realtimenews/20230314003259-260407,三重立委選情再添變數！彭佳芸喊將決定是否「參加民進黨初選」,2023-03-14 15:31,民進黨20日起立委選舉提名登記，由於外傳新北市三重區立委余天本屆將不爭取連任，因此前新北市議員李坤城2022九合一選舉時就放棄尋求連任市議員，轉而備戰立委選舉，不過新北市議員彭佳芸今(14)日在社群平
/realtimenews/20230314003324-260407,北市府涉貪連環爆！蔣萬安市政會議罕見「態度硬了」,2023-03-14 15:26,台北市政府日前接連爆出工務局衛工處、殯葬管理處有同仁涉收賄。台北市長蔣萬安14日主持市政會議，由政風處長林炤宏發起臨時動議，報告近期市府涉貪爭議，並強調犯罪的時間大部分是發生在之前市府的時代，而蔣萬安
/realtimenews/20230314003502-260407,震撼畫面曝光！空軍防空35快砲實彈射擊 夜空佈滿彈幕,2023-03-14 15:24,號稱空軍基地最後一道防線的空軍防空35快砲日前舉行實彈射擊。空軍防空暨飛彈第303營，在年度基地訓練中執行「35快砲對空實彈射擊」日、夜間射擊課目，考驗官兵自接收命令至測考階段，是否能有效運用各式設備
/realtimenews/20230314003013-260407,高雄市內月票399納入台鐵 盧秀燕：不讓台中市民吃虧將北上爭取,2023-03-14 15:00,台中市交通月票分為市內、城際及市民、非市民共4種組合，其中市內通勤市民每月僅299元全國最便宜，14日臨時會民進黨議員黃守達質疑，台中市市內通勤未納入台鐵，高雄票價399但納入台鐵，質疑台中是假便宜；
/realtimenews/20230314003102-260407,最新財產申報 ：唐鳳存款43萬「比去年多8萬」備註1事,2023-03-14 14:57,監察院今天公布最新一期廉政專刊，農委會主委陳吉仲與配偶共同申報183萬元存款，債務則有52萬元。陸委會主委邱太三與配偶共同申報1668萬元存款、有價證券3210萬元，保險達3401萬元。數位發展部長唐
/realtimenews/20230314002875-260407,國民黨批基捷分攤費暴漲 民進黨回擊嗆謝國樑「沒肩膀」,2023-03-14 14:56,國民黨再次惡意批評基捷建設，民進黨新聞部主任張志豪表示，選前大打捷運政見的謝國樑，選後傲慢擺爛，一味推諉卸責，將基捷建設責任全推給中央，不僅不願籌措剩餘的部分預算，還怪東怪西，絲毫沒有肩膀及擔當。張志
/realtimenews/20230314003105-260407,台灣缺的不是蛋？物價指數爆衝 游淑慧吐「3字」真相,2023-03-14 14:45,主計總處13日預估，今年CPI（消費者物價指數）恐怕將維持在2％上下，國內通膨壓力居高不下。對此，台北市議員游淑慧今（14）日在臉書指出，不但CPI已經連續兩年突破通膨警戒線2%，2月的重要民生物資C
/realtimenews/20230314002958-260407,謝衣鳳證實：接國民黨彰化黨部主委,2023-03-14 14:38,國民黨彰化縣黨部主委人選底定，藍營彰化唯一一席立委謝衣鳳證實將接下主委一職，今她接受電話訪問表示，已經答應主席要接下主委，明天會到中央黨部與秘書長討論交接事情，上任後將先解決立委4選區人選，全力守住2
/realtimenews/20230314002660-260407,藍白合有許多討論空間 羅智強曝民眾黨「配票關鍵」,2023-03-14 14:35,民進黨總統初選起跑，13至17日領表登記，副總統賴清德預計15日登記。據媒體報導，國民黨主席朱立倫將循「伯公模式」，力推新北市長侯友宜，至於徵招侯友宜後，是否會和民眾黨合作？前台北市議員羅智強表示，不
/realtimenews/20230314002985-260407,呂秀蓮邀朝野各黨參加民間國是會議 國民黨：大方向贊成,2023-03-14 14:34,前副總統呂秀蓮今至立法院拜訪朝野各黨團，欲邀請邀朝野立委參加全球和平聯盟台灣總會所舉辦的「民間國是會議」，共同凝聚「台灣新共識」。呂秀蓮希望各黨團能藉此坐下來，討論兩岸、國安等議題。國民黨立法院黨團總
/realtimenews/20230314003079-260407,陳建仁稱卡管案「與我無關不必道歉」 媒體人酸：甩鍋蔡英文,2023-03-14 14:25,前台大校長管中閔發表新書，並還原整個卡管案的過程，引發關注。行政院長陳建仁今(14)日被問及，願就這段殘害學術自由的歷史，向全民道歉？陳建仁則強調不必要說任何道歉，「跟我沒任何關係，卡管案各界自有公斷
/realtimenews/20230314002747-260407,軍中到底有無缺蛋？現役官兵爆驚人真相,2023-03-14 14:17,外傳為因應國內缺蛋問題，國軍將減少吃雞蛋，改喝豆奶來補充蛋白質，但遭國防部長邱國正駁斥，表示軍中有蛋吃，且農委會很照顧幫忙，額外給了軍方216萬罐豆奶補充。對此，《中時新聞網》採訪數位現役官兵，他表示
/realtimenews/20230314002811-260407,桃園忠烈祠撤除天照大神 綠營：不該用古蹟操作意識形態,2023-03-14 14:11,近日有民眾質疑，桃園市忠烈祠暨神社文化園區去年迎日本神祇「天照大神」供奉違背忠烈祠精神，桃園市府擬撤除社內所有日本神社文化的週邊設施，相關活動後把天照大神請回日本；民進黨新聞部主任張志豪表示，文化古蹟
